2026-09-02 05:24:52.715 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 38/180 filtering: 36 candidates → 12 frequent (33.3% pass rate, min_count=50)
2026-09-02 05:24:52.715 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 39/180: candidates [884,969, 885,621)
2026-09-02 05:24:52.717 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 39/180 filtering: 652 candidates → 109 frequent (16.7% pass rate, min_count=50)
2026-09-02 05:24:52.717 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 40/180: candidates [885,621, 885,788) (legacy sub-chunk)
2026-09-02 05:24:52.718 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 40/180 filtering: 167 candidates → 77 frequent (46.1% pass rate, min_count=50)
2026-09-02 05:24:52.718 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 41/180: candidates [885,788, 885,978)
2026-09-02 05:24:52.720 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 41/180 filtering: 190 candidates → 80 frequent (42.1% pass rate, min_count=50)
2026-09-02 05:24:52.720 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 42/180: candidates [885,978, 885,993) (legacy sub-chunk)
2026-09-02 05:24:52.721 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 42/180 filtering: 15 candidates → 8 frequent (53.3% pass rate, min_count=50)
2026-09-02 05:24:52.721 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 43/180: candidates [885,993, 886,071)
2026-09-02 05:24:52.723 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 43/180 filtering: 78 candidates → 8 frequent (10.3% pass rate, min_count=50)
2026-09-02 05:24:52.723 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 44/180: candidates [886,071, 886,099) (legacy sub-chunk)
2026-09-02 05:24:52.724 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 44/180 filtering: 28 candidates → 13 frequent (46.4% pass rate, min_count=50)
2026-09-02 05:24:52.724 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 45/180: candidates [886,099, 886,177)
2026-09-02 05:24:52.726 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 45/180 filtering: 78 candidates → 6 frequent (7.7% pass rate, min_count=50)
2026-09-02 05:24:52.727 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 46/180: candidates [886,177, 886,183) (legacy sub-chunk)
2026-09-02 05:24:52.727 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 46/180 filtering: 6 candidates → 6 frequent (100.0% pass rate, min_count=50)
2026-09-02 05:24:52.728 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 47/180: candidates [886,183, 886,274)
2026-09-02 05:24:52.730 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 47/180 filtering: 91 candidates → 28 frequent (30.8% pass rate, min_count=50)
2026-09-02 05:24:52.730 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 48/180: candidates [886,274, 886,316) (legacy sub-chunk)
2026-09-02 05:24:52.731 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 48/180 filtering: 42 candidates → 15 frequent (35.7% pass rate, min_count=50)
2026-09-02 05:24:52.731 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 49/180: candidates [886,316, 886,382)
2026-09-02 05:24:52.733 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 49/180 filtering: 66 candidates → 22 frequent (33.3% pass rate, min_count=50)
2026-09-02 05:24:52.733 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 50/180: candidates [886,382, 886,427) (legacy sub-chunk)
2026-09-02 05:24:52.734 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 50/180 filtering: 45 candidates → 10 frequent (22.2% pass rate, min_count=50)
2026-09-02 05:24:52.734 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 51/180: candidates [886,427, 886,518)
2026-09-02 05:24:52.739 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 51/180 filtering: 91 candidates → 31 frequent (34.1% pass rate, min_count=50)
