2026-09-02 00:52:08.056 | INFO     | __main__:main:98 - Rust extension (et_miner_rust): OK
2026-09-02 00:52:10.402 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 29/66 filtering: 91 candidates → 36 frequent (39.6% pass rate, min_count=20)
2026-09-02 00:52:10.402 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 30/66: candidates [591,172, 591,627) (legacy sub-chunk)
2026-09-02 00:52:10.403 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 30/66 filtering: 455 candidates → 281 frequent (61.8% pass rate, min_count=20)
2026-09-02 00:52:10.403 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 31/66: candidates [591,627, 591,693)
2026-09-02 00:52:10.405 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 31/66 filtering: 66 candidates → 24 frequent (36.4% pass rate, min_count=20)
2026-09-02 00:52:10.405 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 32/66: candidates [591,693, 591,738) (legacy sub-chunk)
2026-09-02 00:52:10.406 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 32/66 filtering: 45 candidates → 5 frequent (11.1% pass rate, min_count=20)
2026-09-02 00:52:10.406 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 33/66: candidates [591,738, 591,804)
2026-09-02 00:52:10.408 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 33/66 filtering: 66 candidates → 39 frequent (59.1% pass rate, min_count=20)
2026-09-02 00:52:10.408 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 34/66: candidates [591,804, 592,062) (legacy sub-chunk)
2026-09-02 00:52:10.409 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 34/66 filtering: 258 candidates → 136 frequent (52.7% pass rate, min_count=20)
2026-09-02 00:52:10.409 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 35/66: candidates [592,062, 592,128)
2026-09-02 00:52:10.410 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 35/66 filtering: 66 candidates → 44 frequent (66.7% pass rate, min_count=20)
2026-09-02 00:52:10.410 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 36/66: candidates [592,128, 595,321) (legacy sub-chunk)
2026-09-02 00:52:10.412 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 36/66 filtering: 3,193 candidates → 2,597 frequent (81.3% pass rate, min_count=20)
